Field,ID,Type (Type),default,en-us,ru-ru
DesktopScreenshot1,100,Relative path (or URL to file in Partner Center),,pt.KeePass/En_Dark_01_FilesPage.png,pt.KeePass/Ru_Dark_01_FilesPage.png
DesktopScreenshot2,101,Relative path (or URL to file in Partner Center),,pt.KeePass/En_Dark_02_FileProviders.png,pt.KeePass/Ru_Dark_02_FileProviders.png
DesktopScreenshot3,102,Relative path (or URL to file in Partner Center),,pt.KeePass/En_Dark_03_LoginPage.png,pt.KeePass/Ru_Dark_03_LoginPage.png
DesktopScreenshot4,103,Relative path (or URL to file in Partner Center),,pt.KeePass/En_Dark_04_GroupsPage.png,pt.KeePass/Ru_Dark_04_GroupsPage.png
DesktopScreenshot5,104,Relative path (or URL to file in Partner Center),,pt.KeePass/En_Dark_05_GeneratePasswordPage.png,pt.KeePass/Ru_Dark_05_GeneratePasswordPage.png
DesktopScreenshot6,105,Relative path (or URL to file in Partner Center),,pt.KeePass/En_Dark_06_BankCardFields.png,pt.KeePass/Ru_Dark_06_BankCardFields.png
DesktopScreenshot7,106,Relative path (or URL to file in Partner Center),,pt.KeePass/En_Dark_07_IconPacks.png,pt.KeePass/Ru_Dark_07_IconPacks.png
DesktopScreenshot8,107,Relative path (or URL to file in Partner Center),,,
DesktopScreenshot9,108,Relative path (or URL to file in Partner Center),,,
DesktopScreenshot10,109,Relative path (or URL to file in Partner Center),,,
DesktopScreenshotCaption1,150,Text,,Many kdbx databases in one App,Поддержка множества баз kdbx в одной программе
DesktopScreenshotCaption2,151,Text,,Select an existing kdbx password file or create a new one,Выберите сущестующий файл паролей формата kdbx или создайте новый
DesktopScreenshotCaption3,152,Text,,"Protect your data with Password, KeyFile, Windows User Account and Windows Hello","Для защиты паролей можно испльзовать мастер пароль, файл-ключ, Ваш логин Windows и Windows Hello."
DesktopScreenshotCaption4,153,Text,,Searching in subgroups,Поиск в подгруппах
DesktopScreenshotCaption5,154,Text,,Strong passwords generation,Создание надежных паролей
DesktopScreenshotCaption6,155,Text,,Safe your bank cards fields,Поля банковских карт
DesktopScreenshotCaption7,156,Text,,Icon packs,Наборы иконок
DesktopScreenshotCaption8,157,Text,,,
DesktopScreenshotCaption9,158,Text,,,
DesktopScreenshotCaption10,159,Text,,,
MobileScreenshot1,200,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9NBLGGH4XJQK/submissions/1152921504627324926/listings/1152921504655043378/listingassets/1152921504714296109,https://developer.microsoft.com/en-us/dashboard/apps/9NBLGGH4XJQK/submissions/1152921504627324926/listings/1152921504655063790/listingassets/1152921504714360185
MobileScreenshot2,201,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9NBLGGH4XJQK/submissions/1152921504627324926/listings/1152921504655043378/listingassets/1152921504714292191,https://developer.microsoft.com/en-us/dashboard/apps/9NBLGGH4XJQK/submissions/1152921504627324926/listings/1152921504655063790/listingassets/1152921504714360476
MobileScreenshot3,202,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9NBLGGH4XJQK/submissions/1152921504627324926/listings/1152921504655043378/listingassets/1152921504714292086,https://developer.microsoft.com/en-us/dashboard/apps/9NBLGGH4XJQK/submissions/1152921504627324926/listings/1152921504655063790/listingassets/1152921504714360446
MobileScreenshot4,203,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9NBLGGH4XJQK/submissions/1152921504627324926/listings/1152921504655043378/listingassets/1152921504714292455,https://developer.microsoft.com/en-us/dashboard/apps/9NBLGGH4XJQK/submissions/1152921504627324926/listings/1152921504655063790/listingassets/1152921504714360448
MobileScreenshot5,204,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9NBLGGH4XJQK/submissions/1152921504627324926/listings/1152921504655043378/listingassets/1152921504714293148,https://developer.microsoft.com/en-us/dashboard/apps/9NBLGGH4XJQK/submissions/1152921504627324926/listings/1152921504655063790/listingassets/1152921504714360337
MobileScreenshot6,205,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9NBLGGH4XJQK/submissions/1152921504627324926/listings/1152921504655043378/listingassets/1152921504714360345,https://developer.microsoft.com/en-us/dashboard/apps/9NBLGGH4XJQK/submissions/1152921504627324926/listings/1152921504655063790/listingassets/1152921504714360338
MobileScreenshot7,206,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9NBLGGH4XJQK/submissions/1152921504627324926/listings/1152921504655043378/listingassets/1152921504714293402,https://developer.microsoft.com/en-us/dashboard/apps/9NBLGGH4XJQK/submissions/1152921504627324926/listings/1152921504655063790/listingassets/1152921504714360186
MobileScreenshot8,207,Relative path (or URL to file in Partner Center),,https://developer.microsoft.com/en-us/dashboard/apps/9NBLGGH4XJQK/submissions/1152921504627324926/listings/1152921504655043378/listingassets/1152921504714296108,https://developer.microsoft.com/en-us/dashboard/apps/9NBLGGH4XJQK/submissions/1152921504627324926/listings/1152921504655063790/listingassets/1152921504714360444
MobileScreenshot9,208,Relative path (or URL to file in Partner Center),,,
MobileScreenshot10,209,Relative path (or URL to file in Partner Center),,,
MobileScreenshotCaption1,250,Text,,Generate strong passwords,
MobileScreenshotCaption2,251,Text,,Select existing or create new database,"Для защиты паролей можно испльзовать мастер пароль, файл-ключ, Ваш логин Windows и Windows Hello."
MobileScreenshotCaption3,252,Text,,"Protect your data with Password, KeyFile, Windows User Account and Windows Hello",Создайте надежный пароль
MobileScreenshotCaption4,253,Text,,,Создайте надежный пароль
MobileScreenshotCaption5,254,Text,,Select existing or create new database,Выберите сущестующий файл паролей формата kdbx или создайте новый
MobileScreenshotCaption6,255,Text,,"Protect your data with Password, KeyFile, Windows User Account and Windows Hello",Выберите сущестующий файл паролей формата kdbx или создайте новый
MobileScreenshotCaption7,256,Text,,,
MobileScreenshotCaption8,257,Text,,Generate strong passwords,"Для защиты паролей можно испльзовать мастер пароль, файл-ключ, Ваш логин Windows и Windows Hello."
MobileScreenshotCaption9,258,Text,,,
MobileScreenshotCaption10,259,Text,,,
XboxScreenshot1,300,Relative path (or URL to file in Partner Center),,,
XboxScreenshot2,301,Relative path (or URL to file in Partner Center),,,
XboxScreenshot3,302,Relative path (or URL to file in Partner Center),,,
XboxScreenshot4,303,Relative path (or URL to file in Partner Center),,,
XboxScreenshot5,304,Relative path (or URL to file in Partner Center),,,
XboxScreenshot6,305,Relative path (or URL to file in Partner Center),,,
XboxScreenshot7,306,Relative path (or URL to file in Partner Center),,,
XboxScreenshot8,307,Relative path (or URL to file in Partner Center),,,
XboxScreenshot9,308,Relative path (or URL to file in Partner Center),,,
XboxScreenshot10,309,Relative path (or URL to file in Partner Center),,,
XboxScreenshotCaption1,350,Text,,,
XboxScreenshotCaption2,351,Text,,,
XboxScreenshotCaption3,352,Text,,,
XboxScreenshotCaption4,353,Text,,,
XboxScreenshotCaption5,354,Text,,,
XboxScreenshotCaption6,355,Text,,,
XboxScreenshotCaption7,356,Text,,,
XboxScreenshotCaption8,357,Text,,,
XboxScreenshotCaption9,358,Text,,,
XboxScreenshotCaption10,359,Text,,,
HolographicScreenshot1,400,Relative path (or URL to file in Partner Center),,,
HolographicScreenshot2,401,Relative path (or URL to file in Partner Center),,,
HolographicScreenshot3,402,Relative path (or URL to file in Partner Center),,,
HolographicScreenshot4,403,Relative path (or URL to file in Partner Center),,,
HolographicScreenshot5,404,Relative path (or URL to file in Partner Center),,,
HolographicScreenshot6,405,Relative path (or URL to file in Partner Center),,,
HolographicScreenshot7,406,Relative path (or URL to file in Partner Center),,,
HolographicScreenshot8,407,Relative path (or URL to file in Partner Center),,,
HolographicScreenshot9,408,Relative path (or URL to file in Partner Center),,,
HolographicScreenshot10,409,Relative path (or URL to file in Partner Center),,,
HolographicScreenshotCaption1,450,Text,,,
HolographicScreenshotCaption2,451,Text,,,
HolographicScreenshotCaption3,452,Text,,,
HolographicScreenshotCaption4,453,Text,,,
HolographicScreenshotCaption5,454,Text,,,
HolographicScreenshotCaption6,455,Text,,,
HolographicScreenshotCaption7,456,Text,,,
HolographicScreenshotCaption8,457,Text,,,
HolographicScreenshotCaption9,458,Text,,,
HolographicScreenshotCaption10,459,Text,,,
StoreLogo720x1080,600,Relative path (or URL to file in Partner Center),,,
StoreLogo1080x1080,601,Relative path (or URL to file in Partner Center),,,
StoreLogo300x300,602,Relative path (or URL to file in Partner Center),,,
OverrideLogosForWin10,603,True/False,,FALSE,FALSE
StoreLogoOverride150x150,604,Relative path (or URL to file in Partner Center),,,
StoreLogoOverride71x71,605,Relative path (or URL to file in Partner Center),,,
PromoImage1920x1080,606,Relative path (or URL to file in Partner Center),,,
PromoImage2400x1200,607,Relative path (or URL to file in Partner Center),,,
XboxBrandedKeyArt584x800,608,Relative path (or URL to file in Partner Center),,,
XboxTitledHero1920x1080,609,Relative path (or URL to file in Partner Center),,,
XboxFeaturedPromo1080x1080,610,Relative path (or URL to file in Partner Center),,,
OptionalPromo358x358,611,Relative path (or URL to file in Partner Center),,,
OptionalPromo1000x800,612,Relative path (or URL to file in Partner Center),,,
OptionalPromo414x180,613,Relative path (or URL to file in Partner Center),,,
Feature1,700,Text,,Keepass 2.x database support,Поддрежка формата KeePass 2.x
Feature2,701,Text,,Windows Hello to protect your credentials, Windows Hello для защиты Ваших учетных данных
Feature3,702,Text,,Supports hotkeys,Поддрежка горячих клавиш
Feature4,703,Text,,,
Feature5,704,Text,,,
Feature6,705,Text,,,
Feature7,706,Text,,,
Feature8,707,Text,,,
Feature9,708,Text,,,
Feature10,709,Text,,,
Feature11,710,Text,,,
Feature12,711,Text,,,
Feature13,712,Text,,,
Feature14,713,Text,,,
Feature15,714,Text,,,
Feature16,715,Text,,,
Feature17,716,Text,,,
Feature18,717,Text,,,
Feature19,718,Text,,,
Feature20,719,Text,,,
MinimumHardwareReq1,800,Text,,,
MinimumHardwareReq2,801,Text,,,
MinimumHardwareReq3,802,Text,,,
MinimumHardwareReq4,803,Text,,,
MinimumHardwareReq5,804,Text,,,
MinimumHardwareReq6,805,Text,,,
MinimumHardwareReq7,806,Text,,,
MinimumHardwareReq8,807,Text,,,
MinimumHardwareReq9,808,Text,,,
MinimumHardwareReq10,809,Text,,,
MinimumHardwareReq11,810,Text,,,
RecommendedHardwareReq1,850,Text,,,
RecommendedHardwareReq2,851,Text,,,
RecommendedHardwareReq3,852,Text,,,
RecommendedHardwareReq4,853,Text,,,
RecommendedHardwareReq5,854,Text,,,
RecommendedHardwareReq6,855,Text,,,
RecommendedHardwareReq7,856,Text,,,
RecommendedHardwareReq8,857,Text,,,
RecommendedHardwareReq9,858,Text,,,
RecommendedHardwareReq10,859,Text,,,
RecommendedHardwareReq11,860,Text,,,
SearchTerm1,900,Text,,KeePass,KeePass
SearchTerm2,901,Text,,Password manager,Менеджер паролей
SearchTerm3,902,Text,,Password,Пароли
SearchTerm4,903,Text,,,
SearchTerm5,904,Text,,,
SearchTerm6,905,Text,,,
SearchTerm7,906,Text,,,
TrailerToPlayAtTopOfListing,999,Relative path (or URL to file in Partner Center),,,
Trailer1,1000,Relative path (or URL to file in Partner Center),,,
Trailer2,1001,Relative path (or URL to file in Partner Center),,,
Trailer3,1002,Relative path (or URL to file in Partner Center),,,
Trailer4,1003,Relative path (or URL to file in Partner Center),,,
Trailer5,1004,Relative path (or URL to file in Partner Center),,,
Trailer6,1005,Relative path (or URL to file in Partner Center),,,
Trailer7,1006,Relative path (or URL to file in Partner Center),,,
Trailer8,1007,Relative path (or URL to file in Partner Center),,,
Trailer9,1008,Relative path (or URL to file in Partner Center),,,
Trailer10,1009,Relative path (or URL to file in Partner Center),,,
Trailer11,1010,Relative path (or URL to file in Partner Center),,,
Trailer12,1011,Relative path (or URL to file in Partner Center),,,
Trailer13,1012,Relative path (or URL to file in Partner Center),,,
Trailer14,1013,Relative path (or URL to file in Partner Center),,,
Trailer15,1014,Relative path (or URL to file in Partner Center),,,
TrailerTitle1,1020,Text,,,
TrailerTitle2,1021,Text,,,
TrailerTitle3,1022,Text,,,
TrailerTitle4,1023,Text,,,
TrailerTitle5,1024,Text,,,
TrailerTitle6,1025,Text,,,
TrailerTitle7,1026,Text,,,
TrailerTitle8,1027,Text,,,
TrailerTitle9,1028,Text,,,
TrailerTitle10,1029,Text,,,
TrailerTitle11,1030,Text,,,
TrailerTitle12,1031,Text,,,
TrailerTitle13,1032,Text,,,
TrailerTitle14,1033,Text,,,
TrailerTitle15,1034,Text,,,
TrailerThumbnail1,1040,Relative path (or URL to file in Partner Center),,,
TrailerThumbnail2,1041,Relative path (or URL to file in Partner Center),,,
TrailerThumbnail3,1042,Relative path (or URL to file in Partner Center),,,
TrailerThumbnail4,1043,Relative path (or URL to file in Partner Center),,,
TrailerThumbnail5,1044,Relative path (or URL to file in Partner Center),,,
TrailerThumbnail6,1045,Relative path (or URL to file in Partner Center),,,
TrailerThumbnail7,1046,Relative path (or URL to file in Partner Center),,,
TrailerThumbnail8,1047,Relative path (or URL to file in Partner Center),,,
TrailerThumbnail9,1048,Relative path (or URL to file in Partner Center),,,
TrailerThumbnail10,1049,Relative path (or URL to file in Partner Center),,,
TrailerThumbnail11,1050,Relative path (or URL to file in Partner Center),,,
TrailerThumbnail12,1051,Relative path (or URL to file in Partner Center),,,
TrailerThumbnail13,1052,Relative path (or URL to file in Partner Center),,,
TrailerThumbnail14,1053,Relative path (or URL to file in Partner Center),,,
TrailerThumbnail15,1054,Relative path (or URL to file in Partner Center),,,
